date,listeners,monthly listeners,monthly active listeners,super listeners,streams,playlist adds,saves,followers
2024-10-08,689546,9221735,4821730,209343,1198121,34758,17114,2043843
2024-10-09,668262,9211571,4824355,209372,1176174,33049,16637,2044247
2024-10-10,656950,9196316,4824153,209225,1157323,32438,15649,2044669
2024-10-11,674621,9177464,4826418,209175,1195579,33147,16054,2045123
2024-10-12,642091,9144052,4826328,208926,1151673,32436,15727,2045556
2024-10-13,620799,9129302,4827192,209011,1132732,35511,16300,2046028
2024-10-14,658621,9105435,4828735,209085,1169384,34557,17554,2046438
2024-10-15,656750,9091562,4828975,209123,1167120,33277,17065,2046839
2024-10-16,653837,9076646,4829365,208754,1152984,41362,15606,2047198
2024-10-17,652070,9052988,4827933,208740,1140808,31997,15892,2047599
2024-10-18,672311,9012054,4822730,208374,1181069,32644,15789,2047985
2024-10-19,654834,8972640,4819072,207902,1167311,33290,15431,2048400
2024-10-20,605283,8924115,4813931,207314,1092133,35382,15317,2048802
2024-10-21,645380,8914526,4812812,206632,1132594,33766,16222,2049136
2024-10-22,682031,8903338,4809929,206461,1180631,34370,16317,2049505
2024-10-23,679220,8880624,4806224,205698,1170158,33273,15374,2049896
2024-10-24,671666,8861681,4803011,205069,1159719,32608,15850,2050326
2024-10-25,682364,8847642,4801330,204536,1190432,33779,15663,2050694
2024-10-26,653951,8819451,4798614,204139,1158727,32594,15920,2051136
2024-10-27,623510,8819208,4797079,203961,1114569,33967,15848,2051576
2024-10-28,668158,8835847,4795887,203610,1165608,33525,16830,2051977
2024-10-29,667882,8825956,4795908,203459,1154645,33045,15750,2052389
2024-10-30,658147,8801727,4793312,203069,1143502,32278,15676,2052788
2024-10-31,647546,8755021,4789089,202752,1116896,28417,13909,2053156
2024-11-01,635323,8712778,4776102,201568,1102125,30093,13713,2053482
2024-11-02,633757,8688255,4767909,201242,1120538,32139,14962,2053876
2024-11-03,613131,8671191,4762151,200876,1099736,33375,15220,2054321
2024-11-04,651640,8634432,4756895,200537,1137829,32289,15621,2054682
2024-11-05,648727,8615019,4751477,199869,1119581,32122,15204,2055025
2024-11-06,647397,8593499,4745383,199571,1119016,30699,14887,2055418
2024-11-07,680994,8591008,4743368,199442,1183358,32389,16967,2055845
2024-11-08,746962,8615569,4748413,199598,1310818,40751,25871,2056381
2024-11-09,698264,8638253,4751972,199920,1243125,35963,21364,2056870
2024-11-10,669251,8656253,4754476,199917,1207784,37793,20726,2057425
2024-11-11,711817,8690198,4757423,199860,1252864,37459,21091,2057872
2024-11-12,698649,8703977,4760971,199961,1219305,36401,19452,2058317
2024-11-13,683827,8701050,4762898,200230,1186847,35438,18649,2058733
2024-11-14,698325,8711688,4765627,200078,1217647,35283,18775,2059131
2024-11-15,699924,8715687,4763901,199837,1214417,33220,16740,2059530
2024-11-16,650321,8714882,4758463,199509,1142033,31969,15519,2059921
2024-11-17,633962,8724946,4756566,199807,1138434,35018,16258,2060317
2024-11-18,673362,8742015,4754233,199658,1170015,34724,17291,2060635
2024-11-19,662600,8736770,4750794,199286,1149219,33149,16161,2061000
2024-11-20,663126,8729840,4747679,199152,1147457,32189,15930,2061323
2024-11-21,665785,8724612,4744557,198979,1149168,33054,15997,2061692
2024-11-22,688827,8727609,4740668,198785,1198488,32314,16097,2062091
2024-11-23,655468,8732001,4737296,198619,1154220,34083,16173,2062495
2024-11-24,616364,8727337,4734794,198445,1101356,34219,15401,2062858
2024-11-25,648211,8713831,4732006,198222,1126286,34602,15863,2063212
2024-11-26,676421,8712415,4729140,197895,1162441,33501,16938,2063566
2024-11-27,667544,8717618,4725504,197653,1148898,33783,15910,2063892
2024-11-28,632329,8714797,4717863,197315,1089617,32487,15260,2064262
2024-11-29,659052,8717359,4717754,197512,1142181,31985,15890,2064668
2024-11-30,637483,8720314,4716548,197345,1126934,32643,15385,2065033
2024-12-01,624166,8722237,4715374,197271,1107441,34323,15794,2065360
2024-12-02,677111,8731594,4714942,197268,1171290,34277,17375,2065723
2024-12-03,672773,8741062,4715563,197260,1166302,32741,17065,2066127
2024-12-04,683395,8758280,4716090,196997,1177739,45444,19624,2066700
2024-12-05,688946,8766791,4711097,196428,1192612,43544,19788,2067318
2024-12-06,707040,8764526,4698137,195451,1227800,38942,19288,2067874
2024-12-07,672947,8754715,4687956,194774,1196962,36254,17154,2068419
2024-12-08,641595,8748950,4680557,194363,1156509,37131,16792,2068877
2024-12-09,677916,8741455,4673948,193924,1192423,36256,17705,2069325
2024-12-10,670794,8736090,4667501,193134,1181746,35566,17763,2069835
2024-12-11,681381,8734672,4661358,192608,1188133,34084,17791,2070246
2024-12-12,683962,8728616,4653934,192126,1188400,34630,17686,2070739
2024-12-13,682657,8726057,4648026,191641,1177244,34490,17022,2071262
2024-12-14,657441,8725466,4648422,191834,1165516,34908,16733,2071778
2024-12-15,621789,8722670,4645982,191606,1115091,35126,16988,2072319
2024-12-16,648307,8712951,4644928,191399,1140122,34640,17217,2072789
2024-12-17,647441,8710677,4643858,191193,1131456,33833,16572,2073231
2024-12-18,656201,8697428,4641259,191024,1143449,32677,16206,2073699
2024-12-19,658448,8691629,4638965,190968,1137905,33120,17033,2074168
2024-12-20,674752,8691111,4635531,190895,1169795,32333,16780,2074643
2024-12-21,638700,8681558,4632683,190903,1122109,32611,16009,2075093
2024-12-22,602646,8668884,4630177,190691,1063259,34493,15647,2075492
2024-12-23,636069,8670820,4629279,190288,1101932,33321,15935,2075907
2024-12-24,581584,8641748,4617045,188814,983505,28787,13873,2076310
2024-12-25,483237,8591984,4584655,186173,825859,26752,12314,2076671
2024-12-26,577694,8587847,4571782,185313,1020343,35003,16103,2077091
2024-12-27,639185,8588395,4564734,184936,1121479,35671,16782,2077495
2024-12-28,648795,8596540,4560868,184779,1130721,35417,16815,2077900
2024-12-29,610251,8601948,4558703,184289,1077001,35885,16256,2078327
2024-12-30,647318,8607751,4556887,183867,1127777,36201,16966,2078775
2024-12-31,645343,8618731,4557075,183081,1105575,29567,14775,2079152
2025-01-01,537741,8593086,4533561,181164,929601,27840,12463,2079536
2025-01-02,611022,8575790,4525796,180299,1052401,36654,16450,2079987
2025-01-03,639224,8559525,4519609,179783,1105470,37318,16924,2080430
2025-01-04,633801,8550058,4517537,179439,1107235,36034,16705,2080867
2025-01-05,604695,8536022,4516626,179220,1070481,36087,15977,2081237
2025-01-06,614236,8517034,4511579,178624,1063724,34529,15621,2081628
2025-01-07,623539,8504043,4507775,178229,1070442,35054,16243,2082065
2025-01-08,644516,8493184,4504396,177777,1102148,35590,16459,2082484
2025-01-09,626688,8471937,4499147,177334,1078973,34579,15835,2082883
2025-01-10,646760,8454460,4494927,177117,1123075,34834,16484,2083306
2025-01-11,654879,8444575,4492111,176896,1140926,35330,16638,2083720
2025-01-12,625830,8457064,4491795,176456,1096634,36536,17183,2084198
2025-01-13,634454,8449739,4492380,175979,1086422,33413,16092,2084565
2025-01-14,639246,8447601,4491557,175520,1085645,33907,16506,2084998
2025-01-15,653469,8445697,4490158,175058,1118673,34123,16474,2085418
2025-01-16,654647,8444270,4488039,174635,1115503,33362,16115,2085835
2025-01-17,673297,8439513,4487676,174442,1158528,33421,16844,2086278
2025-01-18,652501,8456614,4487347,174280,1141695,34138,16174,2086673
2025-01-19,617629,8466478,4487060,174406,1093706,34300,16061,2087089
2025-01-20,637436,8463782,4485632,174507,1094411,34287,16771,2087481
2025-01-21,639904,8475042,4493531,175413,1092471,32732,15964,2087810
2025-01-22,643397,8513648,4522235,177746,1094316,33729,16185,2088150
2025-01-23,649559,8525803,4536294,178823,1110264,34374,16426,2088589
2025-01-24,672160,8526516,4544964,179187,1158792,34694,16670,2089054
2025-01-25,655428,8528539,4548982,179382,1145451,35333,16151,2089500
2025-01-26,608862,8519940,4549063,179437,1081326,36805,15848,2089896
2025-01-27,637246,8494048,4547364,179871,1090759,35823,15589,2090257
2025-01-28,661355,8481415,4542877,180600,1121430,36702,16501,2090646
